dato,timestamp,lat,lon,kommune
2009-08-13,2009-08-13 00:38:08,59.0229,11.1174,Hvaler
2009-08-13,2009-08-13 00:51:33,59.1221,10.7969,Fredrikstad
2009-08-13,2009-08-13 00:51:33,59.1961,10.823,Fredrikstad
2009-08-13,2009-08-13 00:51:34,59.1239,10.8148,Hvaler
2009-08-13,2009-08-13 00:51:34,59.1608,10.7038,Fredrikstad
2009-08-13,2009-08-13 01:31:43,59.1676,10.7923,Fredrikstad
2009-08-13,2009-08-13 03:00:33,59.0719,9.383,Skien
2009-08-13,2009-08-13 03:08:47,59.148,9.5183,Skien
2009-08-13,2009-08-13 03:17:55,60.5108,9.5584,Flå
2009-08-13,2009-08-13 03:20:31,59.4228,11.187,Skiptvet
2009-08-13,2009-08-13 06:03:24,59.07,10.875,Hvaler
2009-08-13,2009-08-13 06:03:24,59.058,11.0072,Hvaler
2009-08-13,2009-08-13 06:10:28,58.9908,11.073,Hvaler
2009-08-13,2009-08-13 10:26:29,58.4933,8.563,Froland
2009-08-13,2009-08-13 10:29:57,59.962,11.7409,Aurskog-Høland
2009-08-13,2009-08-13 10:41:13,58.9499,11.0943,
2009-08-13,2009-08-13 10:41:13,58.9479,11.0648,
2009-08-13,2009-08-13 10:41:13,58.9469,11.0923,
2009-08-13,2009-08-13 10:41:13,58.9454,11.0912,
2009-08-13,2009-08-13 10:44:25,59.6298,10.8098,Ås
2009-08-13,2009-08-13 10:49:10,58.4874,8.6467,Froland
2009-08-13,2009-08-13 10:49:10,58.5288,8.6422,Froland
2009-08-13,2009-08-13 10:53:38,58.759,8.5923,Åmli
2009-08-13,2009-08-13 10:56:04,58.4803,8.5789,Froland
2009-08-13,2009-08-13 10:57:35,58.5342,8.1995,Birkenes
2009-08-13,2009-08-13 11:02:11,59.4464,10.7291,Moss
2009-08-13,2009-08-13 11:17:41,58.6498,8.7114,Åmli
2009-08-13,2009-08-13 11:17:44,59.1298,11.1916,Sarpsborg
2009-08-13,2009-08-13 11:19:15,59.1414,10.9625,Fredrikstad
2009-08-13,2009-08-13 11:20:50,58.8985,8.9286,Gjerstad
2009-08-13,2009-08-13 11:20:50,59.3033,8.3617,Kviteseid
2009-08-13,2009-08-13 11:22:45,58.8693,8.8942,Gjerstad
2009-08-13,2009-08-13 11:23:03,58.6789,8.7984,Vegårshei
2009-08-13,2009-08-13 11:25:49,59.7748,10.8476,Ski
2009-08-13,2009-08-13 11:26:24,58.7538,8.7381,Vegårshei
2009-08-13,2009-08-13 11:26:24,58.6751,8.8382,Vegårshei
2009-08-13,2009-08-13 11:26:24,58.6601,8.9,Tvedestrand
2009-08-13,2009-08-13 11:26:24,58.6564,8.7627,Vegårshei
2009-08-13,2009-08-13 11:26:24,58.6709,8.8668,Tvedestrand
2009-08-13,2009-08-13 11:28:25,58.6917,8.9592,Tvedestrand
2009-08-13,2009-08-13 11:28:25,58.6586,8.9103,Tvedestrand
2009-08-13,2009-08-13 11:29:52,58.666,8.9305,Tvedestrand
2009-08-13,2009-08-13 11:30:06,58.831,8.9458,Vegårshei
2009-08-13,2009-08-13 11:30:06,59.1465,8.7336,Drangedal
2009-08-13,2009-08-13 11:35:17,58.6593,8.9177,Tvedestrand
2009-08-13,2009-08-13 11:35:17,58.6452,8.7803,Tvedestrand
2009-08-13,2009-08-13 11:35:21,59.2965,10.9515,Fredrikstad
2009-08-13,2009-08-13 11:37:59,59.3919,10.5586,Horten
2009-08-13,2009-08-13 11:45:46,58.5369,6.714,Sirdal
2009-08-13,2009-08-13 12:13:11,60.9016,10.3464,Gjøvik
2009-08-13,2009-08-13 12:14:58,60.8523,10.5869,Gjøvik
2009-08-13,2009-08-13 12:17:39,60.8338,10.6481,Gjøvik
2009-08-13,2009-08-13 12:17:39,60.8675,10.5545,Gjøvik
2009-08-13,2009-08-13 12:25:18,59.7282,10.4348,Røyken
2009-08-13,2009-08-13 13:09:15,58.634,8.9209,Tvedestrand
2009-08-13,2009-08-13 14:07:04,58.6937,9.0105,Tvedestrand
2009-08-13,2009-08-13 14:07:07,58.5934,8.5551,Froland
2009-08-13,2009-08-13 14:08:03,60.8802,11.6538,Elverum
2009-08-13,2009-08-13 14:09:39,60.9054,11.6294,Elverum
2009-08-13,2009-08-13 14:16:28,60.0849,8.9696,Nore og Uvdal
2009-08-13,2009-08-13 14:16:28,60.2178,8.7346,Nore og Uvdal
2009-08-13,2009-08-13 14:21:15,60.0407,8.842,Tinn
2009-08-13,2009-08-13 14:21:15,60.0384,8.9483,Tinn
2009-08-13,2009-08-13 14:21:15,59.9922,8.9923,Rollag
2009-08-13,2009-08-13 14:21:15,60.0397,8.9489,Tinn
2009-08-13,2009-08-13 14:31:05,59.9593,9.1222,Rollag
2009-08-13,2009-08-13 14:37:40,59.9691,8.9943,Tinn
2009-08-13,2009-08-13 14:38:28,60.4087,11.6492,Nord-Odal
2009-08-13,2009-08-13 14:38:28,60.2322,11.8001,Sør-Odal
2009-08-13,2009-08-13 14:39:41,59.9499,9.078,Tinn
2009-08-13,2009-08-13 14:39:41,59.9783,9.2731,Rollag
2009-08-13,2009-08-13 14:39:41,59.9346,9.2021,Rollag
2009-08-13,2009-08-13 14:39:41,60.0581,9.1175,Rollag
2009-08-13,2009-08-13 14:40:05,60.1189,11.5571,Nes
2009-08-13,2009-08-13 14:40:05,60.1255,11.4535,Nes
2009-08-13,2009-08-13 14:42:33,59.9606,8.926,Tinn
2009-08-13,2009-08-13 14:42:33,60.0612,9.2202,Rollag
2009-08-13,2009-08-13 14:42:35,60.1168,11.5537,Nes
2009-08-13,2009-08-13 14:42:35,60.2108,11.7604,Sør-Odal
2009-08-13,2009-08-13 14:42:35,60.1394,11.4581,Nes
2009-08-13,2009-08-13 14:43:10,58.443,8.5917,Arendal
2009-08-13,2009-08-13 14:44:45,61.6608,10.5888,Ringebu
2009-08-13,2009-08-13 14:44:45,61.6693,10.5991,Ringebu
2009-08-13,2009-08-13 14:44:45,61.6784,10.5932,Ringebu
2009-08-13,2009-08-13 14:44:45,61.6619,10.5141,Ringebu
2009-08-13,2009-08-13 14:48:35,59.9458,9.1445,Rollag
2009-08-13,2009-08-13 14:48:35,59.9409,9.0758,Tinn
2009-08-13,2009-08-13 14:48:35,59.6561,9.3966,Notodden
2009-08-13,2009-08-13 14:54:19,58.6643,7.9923,Froland
2009-08-13,2009-08-13 14:54:20,58.4562,8.53,Arendal
2009-08-13,2009-08-13 14:54:20,58.5187,8.5109,Froland
2009-08-13,2009-08-13 14:55:29,61.2429,10.1101,Gausdal
2009-08-13,2009-08-13 15:01:34,60.2224,9.2867,Sigdal
2009-08-13,2009-08-13 15:01:34,60.2025,9.4012,Sigdal
2009-08-13,2009-08-13 15:01:34,60.1334,10.6384,Oslo
2009-08-13,2009-08-13 15:03:04,60.2374,9.4529,Sigdal
2009-08-13,2009-08-13 15:08:21,61.1729,10.1708,Gausdal
2009-08-13,2009-08-13 15:08:56,60.1687,9.4405,Sigdal
2009-08-13,2009-08-13 15:12:17,60.1199,9.3185,Sigdal
2009-08-13,2009-08-13 15:12:17,60.2266,9.3322,Sigdal
2009-08-13,2009-08-13 15:15:09,59.9672,10.9872,Skedsmo
2009-08-13,2009-08-13 15:16:51,59.5238,6.3438,Suldal
2009-08-13,2009-08-13 15:16:51,61.0356,10.2012,Nordre Land
2009-08-13,2009-08-13 15:19:10,60.8973,9.7215,Etnedal
2009-08-13,2009-08-13 15:19:10,60.8854,9.7024,Etnedal
2009-08-13,2009-08-13 15:19:21,61.173,10.5086,Lillehammer
2009-08-13,2009-08-13 15:20:55,60.0592,9.2901,Rollag
2009-08-13,2009-08-13 15:20:55,59.947,9.5593,Flesberg
2009-08-13,2009-08-13 15:21:06,61.1279,10.7168,Ringsaker
2009-08-13,2009-08-13 15:21:06,61.1448,10.4714,Lillehammer
2009-08-13,2009-08-13 15:21:06,61.1568,10.5068,Lillehammer
2009-08-13,2009-08-13 15:21:06,61.1763,10.5319,Lillehammer
2009-08-13,2009-08-13 15:23:57,60.1321,9.3872,Sigdal
2009-08-13,2009-08-13 15:23:57,60.1344,9.3878,Sigdal
2009-08-13,2009-08-13 15:25:33,60.7548,11.06,Stange
2009-08-13,2009-08-13 15:25:33,61.1927,10.4034,Lillehammer
