kommune,lyn_treff,andel (%),lyn_per_år
Guovdageaidnu  Kautokeino,124805,5.131902708286046,6240.25
Kárásjohka  Karasjok,47930,1.970851302497097,2396.5
Ringerike,37838,1.5558746418503058,1891.9
Rendalen,37776,1.5533252410417344,1888.8
Trysil,32289,1.327703269483179,1614.45
Nes,30683,1.2616655646676074,1534.15
Aurskog-Høland,25314,1.0408956785189134,1265.7
Midtre Gauldal,24098,0.9908945271766125,1204.9
Stor-Elvdal,23286,0.9575056004579052,1164.3
Surnadal,23064,0.948377100788505,1153.2
Elverum,21730,0.8935238640363429,1086.5
Åmot,20938,0.8609573246752391,1046.9
Oppdal,20538,0.8445095775231667,1026.9
Åsnes,20427,0.8399453276884665,1021.35
Nordreisa,20284,0.8340652580816005,1014.2
Våler,20055,0.824648922837039,1002.75
Snåsa,19276,0.7926169352583776,963.8
Engerdal,17454,0.717697446980687,872.7
Drangedal,17443,0.717245133934005,872.15
Rindal,17336,0.7128453615708257,866.8
Kongsvinger,16866,0.6935192586671404,843.3
Voss,16688,0.686200011184468,834.4
Skien,16436,0.6758379304786624,821.8
Porsanger  Porsāngu  Porsanki,16320,0.6710680838045613,816.0
Nore og Uvdal,16030,0.6591434671193086,801.5
Tynset,15759,0.6480001184237795,787.95
Tinn,15687,0.6450395239364064,784.35
Sigdal,15601,0.6415032582987108,780.05
Sør-Odal,15466,0.6359521436348863,773.3
Eidskog,15221,0.6258778985042419,761.05
Åmli,15087,0.6203679032082975,754.35
Steinkjer,14840,0.6102114193418927,742.0
Nord-Odal,14432,0.5934347172467787,721.6
Meldal,14169,0.582620323494291,708.45
Grue,13941,0.5732451076176096,697.05
Notodden,13854,0.5696677226120338,692.7
Ringsaker,13767,0.5660903376064581,688.35
Oslo,13746,0.5652268308809743,687.3
Gausdal,13706,0.563582056165767,685.3
Nissedal,13513,0.555646018164892,675.65
Gran,13378,0.5500949035010675,668.9
Rennebu,13289,0.5464352797597314,664.45
Vang,13251,0.5448727437802844,662.55
Røros,12917,0.5311388749083038,645.85
Kongsberg,12859,0.5287539515712533,642.95
Nordre Land,12551,0.5160891862641575,627.55
Os,12472,0.5128407562016231,623.6
Lierne,12424,0.5108670265433743,621.2
Stange,12393,0.5095923261390888,619.65
Sør-Aurdal,12361,0.5082765063669229,618.05
Eidsvoll,12320,0.5065906122838355,616.0
Meråker,12233,0.5030132272782597,611.65
Verdal,12147,0.49947696164056404,607.35
Hattfjelldal,12094,0.4972976351429145,604.7
Sunndal,11982,0.4926922659403341,599.1
Ringebu,11833,0.48656548012618706,591.65
Ål,11827,0.486318763918906,591.35
Tolga,11826,0.4862776445510258,591.3
Alta,11478,0.4719681045287227,573.9
Dovre,11396,0.46859631636254784,569.8
Modum,11396,0.46859631636254784,569.8
Lesja,11228,0.46168826255867734,561.4
Fyresdal,11173,0.45942669732526736,558.65
Sarpsborg,11012,0.45280647909655813,550.6
Nannestad,10922,0.4491057359873418,546.1
Fredrikstad,10724,0.4409641011470659,536.2
Selbu,10722,0.44088186241130556,536.1
Øystre Slidre,10602,0.4359475382656837,530.1
Vinje,10509,0.4321234370528269,525.45
Folldal,10507,0.4320411983170665,525.35
Holtålen,10346,0.4254209800883573,517.3
Grane,10312,0.4240229215804311,515.6
Hol,10115,0.4159224061080354,505.75
Nord-Aurdal,10023,0.4121394242630587,501.15
Søndre Land,9590,0.3943347379709401,479.5
Lebesby,9585,0.3941291411315392,479.25
Bygland,9579,0.3938824249242581,478.95
Vaksdal,9560,0.3931011569345347,478.0
Flå,9527,0.3917442177944887,476.35
Øvre Eiker,9495,0.3904283980223229,474.75
Froland,9424,0.38750892290283,471.2
Rana,9418,0.3872622066955489,470.9
Flesberg,9389,0.3860697450270237,469.45
Birkenes,9379,0.3856585513482218,468.95
Kvinesdal,9357,0.38475392525485785,467.85
Sirdal,9309,0.38278019559660914,465.45
Suldal,9217,0.3789972137516324,460.85
Kviteseid,9184,0.37764027461158645,459.2
Sør-Varanger,9036,0.3715546081653196,451.8
Målselv,8849,0.36386528637172566,442.45
Hemne,8843,0.3636185701644446,442.15
Gjøvik,8722,0.3586431266509426,436.1
Grong,8499,0.34947350761366214,424.95
Deatnu  Tana,8498,0.349432388245782,424.9
Hemsedal,8492,0.34918567203850087,424.6
Nome,8345,0.3431411249601142,417.25
Orkdal,8301,0.3413318727733862,415.05
Kvinnherad,8216,0.3378367265035708,410.8
Ullensaker,8196,0.3370143391459672,409.8
Nord-Fron,8119,0.3338481478191932,405.95
Sel,8062,0.33150434385002286,403.1
Vegårshei,8046,0.33084643396394,402.3
Alvdal,8032,0.33027076281361745,401.6
Hjartdal,7982,0.3282147944196083,399.1
Stjørdal,7907,0.3251308418285947,395.35
Kvænangen,7801,0.3207721888332955,390.05
Vågå,7789,0.3202787564187333,389.45
Krødsherad,7772,0.31957972716477023,388.6
Namsskogan,7705,0.3168247295167981,385.25
Øyer,7622,0.31341182198274303,381.1
Melhus,7459,0.30670936501827345,372.95
Seljord,7191,0.2956893744263848,359.55
Bindal,7019,0.2886168431509936,350.95
Hjelmeland,6973,0.28672535222850526,348.65
Gjerstad,6906,0.2839703545805331,345.3
Lunner,6887,0.28318908659080966,344.35
Tydal,6880,0.2829012510156484,344.0
Kvam,6874,0.28265453480836733,343.7
Nærøy,6866,0.2823255798653258,343.3
Lardal,6783,0.27891267233127076,339.15
Bergen,6685,0.27488297427901304,334.25
Forsand,6605,0.2715934248485985,330.25
Åfjord,6579,0.2705243212837138,328.95
Namsos,6512,0.2677693236357416,325.6
Østre Toten,6512,0.2677693236357416,325.6
Sør-Fron,6491,0.26690581691025783,324.55
Lier,6469,0.2660011908168938,323.45
Vefsn,6440,0.26480872914836856,322.0
Bjerkreim,6357,0.2613958216143135,317.85
Rauma,6338,0.26061455362459,316.9
Hurdal,6325,0.2600800018421477,316.25
Evje og Hornnes,6258,0.25732500419417553,312.9
Nittedal,6188,0.2544466484425628,309.4
Valle,6185,0.25432329033892226,309.25
Nesset,6161,0.25333642550979796,308.05
Sørum,6145,0.252678515623715,307.25
Lom,6144,0.2526373962558348,307.2
Løten,6049,0.24873105630721762,302.45
Bardu,5985,0.246099416762886,299.25
Luster,5885,0.24198747997486786,294.25
Tokke,5884,0.24194636060698768,294.2
Hvaler,5859,0.24091837640998312,292.95
Bærum,5839,0.24009598905237953,291.95
Høyanger,5771,0.23729987203652717,288.55
Flekkefjord,5752,0.2365186040468037,287.6
Rollag,5751,0.23647748467892352,287.55
Etnedal,5727,0.2354906198497992,286.35
Snillfjord,5637,0.23178987674058282,281.85
Gjesdal,5538,0.22771905932044487,276.9
Åseral,5534,0.22755458184892416,276.7
Eidsberg,5527,0.2272667462737629,276.35
Hægebostad,5477,0.2252107778797538,273.85
Jevnaker,5422,0.22294921264634382,271.1
Vindafjord,5419,0.2228258545427033,270.95
Sande,5416,0.22270249643906276,270.8
Masfjorden,5345,0.21978302131956984,267.25
Vennesla,5341,0.21961854384804913,267.05
Rakkestad,5335,0.21937182764076804,266.75
Lærdal,5292,0.21760369482192024,264.6
Overhalla,5236,0.21530101022063006,261.8
Aurland,5231,0.21509541338122917,261.55
Sauherad,5195,0.21361511613754264,259.75
Siljan,5149,0.21172362521505428,257.45
Hole,5148,0.2116825058471741,257.4
Enebakk,5086,0.20913310503860288,254.3
Hamar,5027,0.20670706233367214,251.35
Hurum,4983,0.20489781014694416,249.15
Levanger,4957,0.20382870658205943,247.85
Tysvær,4895,0.2012793057734882,244.75
Røyrvik,4874,0.20041579904800438,243.7
Gol,4837,0.19889438243643767,241.85
Bø,4780,0.19655057846726734,239.0
Vestre Slidre,4727,0.19437125196961771,236.35
Lillehammer,4726,0.19433013260173754,236.3
Gloppen,4723,0.194206774498097,236.15
Ullensvang,4710,0.19367222271565462,235.5
Brønnøy,4703,0.19338438714049336,235.15
Samnanger,4670,0.19202744800044738,233.5
Flatanger,4624,0.19013595707795902,231.2
