kommune,lyn_treff,andel (%),lyn_per_år,areal_km2,lyn_per_km2
Guovdageaidnu  Kautokeino,124805,5.131902708286046,6240.25,9727.122531029352,12.830618674934362
Kárásjohka  Karasjok,47930,1.970851302497097,2396.5,5469.599705408536,8.762981311521774
Ringerike,37838,1.5558746418503058,1891.9,1556.6447368822783,24.307408815568117
Rendalen,37776,1.5533252410417344,1888.8,3179.984260138705,11.87930408132029
Trysil,32289,1.327703269483179,1614.45,3013.5664225931455,10.714547307776153
Nes,30683,1.2616655646676074,1534.15,811.1023848977879,37.82876313927564
Nes,30683,1.2616655646676074,1534.15,637.4526656262329,48.13377001076158
Aurskog-Høland,25314,1.0408956785189134,1265.7,961.761054727219,26.320466893078475
Midtre Gauldal,24098,0.9908945271766125,1204.9,1861.3786873522558,12.946317782481188
Stor-Elvdal,23286,0.9575056004579052,1164.3,2166.7209830063193,10.747115195095743
Surnadal,23064,0.948377100788505,1153.2,1455.5658806628985,15.845383782626259
Elverum,21730,0.8935238640363429,1086.5,1229.243373510763,17.67754089081509
Åmot,20938,0.8609573246752391,1046.9,1340.0033904168488,15.625333599705742
Oppdal,20538,0.8445095775231667,1026.9,2276.71985850727,9.020872692464556
Åsnes,20427,0.8399453276884665,1021.35,1040.7181625156447,19.627792360828458
Nordreisa,20284,0.8340652580816005,1014.2,3684.1131865370426,5.505802610550726
Våler,20055,0.824648922837039,1002.75,705.1921734355731,28.43905640968127
Våler,20055,0.824648922837039,1002.75,257.0899036785769,78.00773080950502
Snåsa,19276,0.7926169352583776,963.8,2341.564363944588,8.23210341633648
Engerdal,17454,0.717697446980687,872.7,2196.1653475347625,7.9474890265400315
Drangedal,17443,0.717245133934005,872.15,1065.0297325797094,16.37794651774618
Rindal,17336,0.7128453615708257,866.8,632.6188933778518,27.40354450597403
Kongsvinger,16866,0.6935192586671404,843.3,1036.2285094803512,16.276332725547164
Voss,16688,0.686200011184468,834.4,1816.7578546152963,9.185593973135035
Skien,16436,0.6758379304786624,821.8,784.6506592339614,20.946901409661894
Porsanger  Porsāngu  Porsanki,16320,0.6710680838045613,816.0,6012.740710981016,2.7142364496434923
Nore og Uvdal,16030,0.6591434671193086,801.5,2508.286267499105,6.390817590363305
Tynset,15759,0.6480001184237795,787.95,1881.4520171270453,8.375977626080417
Tinn,15687,0.6450395239364064,784.35,2049.753906161372,7.653113845933563
Sigdal,15601,0.6415032582987108,780.05,843.6349760895624,18.492595070339707
Sør-Odal,15466,0.6359521436348863,773.3,516.737491304654,29.93009073321076
Eidskog,15221,0.6258778985042419,761.05,640.3016069117568,23.771609872123406
Åmli,15087,0.6203679032082975,754.35,1133.8091239800492,13.30647256307092
Steinkjer,14840,0.6102114193418927,742.0,1619.3190343598476,9.164346052330929
Nord-Odal,14432,0.5934347172467787,721.6,508.1759053827733,28.399614871801894
Meldal,14169,0.582620323494291,708.45,613.941058879518,23.078762684253988
Grue,13941,0.5732451076176096,697.05,836.9913899779955,16.656085315724106
Notodden,13854,0.5696677226120338,692.7,920.9596158367987,15.043004885086122
Ringsaker,13767,0.5660903376064581,688.35,1280.6459269219229,10.750043950937684
Oslo,13746,0.5652268308809743,687.3,481.0351588058831,28.575873817878374
Gausdal,13706,0.563582056165767,685.3,1192.4224922523852,11.494248128539178
Nissedal,13513,0.555646018164892,675.65,907.4864272211357,14.89058083367583
Gran,13378,0.5500949035010675,668.9,757.1790285832949,17.668212529645263
Rennebu,13289,0.5464352797597314,664.45,948.7906830871601,14.006250521727788
Vang,13251,0.5448727437802844,662.55,1508.7726398529483,8.782635401773657
Røros,12917,0.5311388749083038,645.85,1956.2596379934957,6.602906766122701
Kongsberg,12859,0.5287539515712533,642.95,794.2192426576615,16.19074344883723
Nordre Land,12551,0.5160891862641575,627.55,956.2938471414765,13.124626951764936
Os,12472,0.5128407562016231,623.6,246.92145286957285,50.509989533343116
Os,12472,0.5128407562016231,623.6,1040.5032796011344,11.986507149483474
Lierne,12424,0.5108670265433743,621.2,2959.6664803037834,4.197770283469503
Stange,12393,0.5095923261390888,619.65,724.4093505127759,17.10773058247739
Sør-Aurdal,12361,0.5082765063669229,618.05,1110.4771821009133,11.131250780510598
Eidsvoll,12320,0.5065906122838355,616.0,456.6153436589377,26.981134495564056
Meråker,12233,0.5030132272782597,611.65,1273.1767976739857,9.60824924107078
Verdal,12147,0.49947696164056404,607.35,1564.3191697271523,7.765039408242164
Hattfjelldal,12094,0.4972976351429145,604.7,2682.2931880780243,4.508828510527538
Sunndal,11982,0.4926922659403341,599.1,1802.7592298421453,6.646478243824705
Ringebu,11833,0.48656548012618706,591.65,1248.4709708527023,9.477993702903715
Ål,11827,0.486318763918906,591.35,1177.732828152005,10.042175710222743
Tolga,11826,0.4862776445510258,591.3,1122.833671063969,10.53228123163957
Alta,11478,0.4719681045287227,573.9,4564.954223917695,2.514373515480611
Dovre,11396,0.46859631636254784,569.8,1366.0981150630882,8.342006971786004
Modum,11396,0.46859631636254784,569.8,517.8309601579674,22.007181641907973
Lesja,11228,0.46168826255867734,561.4,2263.769330286383,4.959869298423429
Fyresdal,11173,0.45942669732526736,558.65,1284.0570793439401,8.701326584102159
Sarpsborg,11012,0.45280647909655813,550.6,427.23489239175836,25.775048330796
Nannestad,10922,0.4491057359873418,546.1,341.1299082857709,32.01712818112224
Fredrikstad,10724,0.4409641011470659,536.2,559.4712654081204,19.168097922200005
Selbu,10722,0.44088186241130556,536.1,1235.0044497969595,8.681750095526171
Øystre Slidre,10602,0.4359475382656837,530.1,964.6967093734693,10.98998254786788
Vinje,10509,0.4321234370528269,525.45,3116.0057361044865,3.3725868595922286
Folldal,10507,0.4320411983170665,525.35,1277.959160910091,8.221702477970815
Holtålen,10346,0.4254209800883573,517.3,1209.6128872682798,8.5531496141421
Grane,10312,0.4240229215804311,515.6,2002.8110155512823,5.14876337304425
Hol,10115,0.4159224061080354,505.75,1859.8091147234793,5.438730200816293
Nord-Aurdal,10023,0.4121394242630587,501.15,907.8804472220322,11.03999984873423
Søndre Land,9590,0.3943347379709401,479.5,728.9664399222058,13.155612487487668
Lebesby,9585,0.3941291411315392,479.25,5751.385337506967,1.666555001538947
Bygland,9579,0.3938824249242581,478.95,1316.453552627736,7.276367617284809
Vaksdal,9560,0.3931011569345347,478.0,760.7543087974534,12.566474996522558
Flå,9527,0.3917442177944887,476.35,705.4558157338881,13.50474372387026
Øvre Eiker,9495,0.3904283980223229,474.75,457.26646531257137,20.76469787372129
Froland,9424,0.38750892290283,471.2,646.3443474434233,14.580463242660159
Rana,9418,0.3872622066955489,470.9,4584.68138327467,2.054232172895964
Flesberg,9389,0.3860697450270237,469.45,562.7787079907414,16.68328930481582
Birkenes,9379,0.3856585513482218,468.95,676.2736945717203,13.868645306305547
Kvinesdal,9357,0.38475392525485785,467.85,976.1577586237562,9.58554077692528
Sirdal,9309,0.38278019559660914,465.45,1562.017139588943,5.959601699664919
Suldal,9217,0.3789972137516324,460.85,1918.1570834008637,4.805133051803243
Kviteseid,9184,0.37764027461158645,459.2,710.2807354340812,12.93009868047074
Sør-Varanger,9036,0.3715546081653196,451.8,5143.478473626021,1.756787754888736
Målselv,8849,0.36386528637172566,442.45,3356.3008298020823,2.63653362696985
Hemne,8843,0.3636185701644446,442.15,790.1376888661442,11.191720284460544
Gjøvik,8722,0.3586431266509426,436.1,672.7078721148325,12.96550904418603
Grong,8499,0.34947350761366214,424.95,1135.63287926968,7.483932664459016
Deatnu  Tana,8498,0.349432388245782,424.9,4386.599568147418,1.9372636749674739
Hemsedal,8492,0.34918567203850087,424.6,755.2518860270886,11.24393087539462
Nome,8345,0.3431411249601142,417.25,2.9328905434787207,2845.3158671588
Nome,8345,0.3431411249601142,417.25,427.58480869773456,19.516596076964916
Orkdal,8301,0.3413318727733862,415.05,640.8010523149275,12.954098577104705
Kvinnherad,8216,0.3378367265035708,410.8,1513.9061651330528,5.427020636564961
Ullensaker,8196,0.3370143391459672,409.8,252.52160836588476,32.45662837742034
Nord-Fron,8119,0.3338481478191932,405.95,1142.966899099471,7.1034428087085075
Sel,8062,0.33150434385002286,403.1,906.0911120760073,8.897559961192645
Vegårshei,8046,0.33084643396394,402.3,356.480729521874,22.570645012962164
Alvdal,8032,0.33027076281361745,401.6,942.6682627331752,8.520494767387198
Hjartdal,7982,0.3282147944196083,399.1,793.046098626999,10.06498867319219
Stjørdal,7907,0.3251308418285947,395.35,1000.7109978363409,7.90138213439834
Kvænangen,7801,0.3207721888332955,390.05,2685.0502356290904,2.9053460141956244
Vågå,7789,0.3202787564187333,389.45,1332.2760713291598,5.846385871232544
Krødsherad,7772,0.31957972716477023,388.6,375.01259082288374,20.724637492693333
Namsskogan,7705,0.3168247295167981,385.25,1416.337099525071,5.440089087960526
Øyer,7622,0.31341182198274303,381.1,640.2928554710119,11.903927921221468
Melhus,7459,0.30670936501827345,372.95,696.9065574311799,10.703013080396481
Seljord,7191,0.2956893744263848,359.55,716.8482218648588,10.031412202282977
Bindal,7019,0.2886168431509936,350.95,1904.7905758888528,3.68491953333224
Hjelmeland,6973,0.28672535222850526,348.65,1201.2665228701553,5.804706838362223
Gjerstad,6906,0.2839703545805331,345.3,322.82922653058006,21.392115188015133
Lunner,6887,0.28318908659080966,344.35,292.0185410175167,23.5841189261571
Tydal,6880,0.2829012510156484,344.0,1329.003147014623,5.176812421742369
Kvam,6874,0.28265453480836733,343.7,765.8495997025736,8.975652664269324
Nærøy,6866,0.2823255798653258,343.3,1552.9525585727172,4.421255473708985
Lardal,6783,0.27891267233127076,339.15,278.0376699308975,24.395974839257654
Bergen,6685,0.27488297427901304,334.25,573.7744144572195,11.650920347021561
Forsand,6605,0.2715934248485985,330.25,850.6667665504793,7.764497520907975
Åfjord,6579,0.2705243212837138,328.95,1412.0822651950762,4.659076997253503
Namsos,6512,0.2677693236357416,325.6,1040.0903047205572,6.260994810205052
Østre Toten,6512,0.2677693236357416,325.6,562.8192687835922,11.5703217021589
Sør-Fron,6491,0.26690581691025783,324.55,742.947770043927,8.736818739783306
Lier,6469,0.2660011908168938,323.45,307.8215166134188,21.01542501372368
Vefsn,6440,0.26480872914836856,322.0,2029.0204874834287,3.173945280359125
Bjerkreim,6357,0.2613958216143135,317.85,654.1858988099676,9.717421319481275
Rauma,6338,0.26061455362459,316.9,1639.4118966316112,3.8660204998037773
Hurdal,6325,0.2600800018421477,316.25,285.0723268721771,22.187351783310948
Evje og Hornnes,6258,0.25732500419417553,312.9,552.1847191022725,11.333164036437106
Nittedal,6188,0.2544466484425628,309.4,186.32161991167973,33.211390084163284
Valle,6185,0.25432329033892226,309.25,1270.0120172818297,4.870032657830733
Nesset,6161,0.25333642550979796,308.05,1134.0865741422224,5.432565855618151
Sørum,6145,0.252678515623715,307.25,206.66696768171602,29.733827659695482
Lom,6144,0.2526373962558348,307.2,1972.7132734527152,3.1144921477851395
Løten,6049,0.24873105630721762,302.45,369.4945448857731,16.37101300607837
Bardu,5985,0.246099416762886,299.25,2703.408552065756,2.2138718157959074
Luster,5885,0.24198747997486786,294.25,2814.744669757005,2.0907757862485083
Tokke,5884,0.24194636060698768,294.2,987.585779263874,5.957963473700292
Hvaler,5859,0.24091837640998312,292.95,518.8574475733182,11.292118918987056
Bærum,5839,0.24009598905237953,291.95,216.87796857717325,26.92297441877904
Høyanger,5771,0.23729987203652717,288.55,1122.3936522428241,5.141689805950072
Flekkefjord,5752,0.2365186040468037,287.6,863.6728352332177,6.659929275704019
Rollag,5751,0.23647748467892352,287.55,450.0675618300068,12.778081532061595
Etnedal,5727,0.2354906198497992,286.35,459.7237569705949,12.45748107023826
Snillfjord,5637,0.23178987674058282,281.85,649.1822845491982,8.683231403818137
Gjesdal,5538,0.22771905932044487,276.9,629.9115565947769,8.79171042667916
Åseral,5534,0.22755458184892416,276.7,891.0208611204021,6.210853461995656
Eidsberg,5527,0.2272667462737629,276.35,235.96320978095943,23.423142976952292
Hægebostad,5477,0.2252107778797538,273.85,463.29732383921896,11.82178207854427
Jevnaker,5422,0.22294921264634382,271.1,225.89649162147288,24.002143464385725
Vindafjord,5419,0.2228258545427033,270.95,769.5175955300996,7.042074192295758
Sande,5416,0.22270249643906276,270.8,460.5053564831673,11.760992404868952
Sande,5416,0.22270249643906276,270.8,200.08677517458077,27.068255736914164
Masfjorden,5345,0.21978302131956984,267.25,645.4072100562198,8.281593258827106
Vennesla,5341,0.21961854384804913,267.05,385.8308782184184,13.842852662965111
Rakkestad,5335,0.21937182764076804,266.75,434.803403541549,12.269913152807685
Lærdal,5292,0.21760369482192024,264.6,1410.4544613354922,3.7519821767157637
Overhalla,5236,0.21530101022063006,261.8,729.6048144519366,7.1764877318321565
Aurland,5231,0.21509541338122917,261.55,1521.9075844408676,3.4371338006846277
Sauherad,5195,0.21361511613754264,259.75,321.1002161551851,16.178749619680417
Siljan,5149,0.21172362521505428,257.45,214.26187461671765,24.03134019624718
Hole,5148,0.2116825058471741,257.4,192.85396805918177,26.693772763961046
Enebakk,5086,0.20913310503860288,254.3,232.66996848523976,21.859288644390084
Hamar,5027,0.20670706233367214,251.35,351.035036884057,14.32050784623064
Hurum,4983,0.20489781014694416,249.15,260.91445669381994,19.09821350316166
Levanger,4957,0.20382870658205943,247.85,837.0197924755958,5.922201654681334
Tysvær,4895,0.2012793057734882,244.75,639.6078745800983,7.65312653977808
Røyrvik,4874,0.20041579904800438,243.7,1583.6548434327606,3.0776908366188076
Gol,4837,0.19889438243643767,241.85,533.4545446549364,9.067314260353335
Bø,4780,0.19655057846726734,239.0,263.7416592013805,18.123795893580166
Bø,4780,0.19655057846726734,239.0,1824.3385110765423,2.6201277728766037
Vestre Slidre,4727,0.19437125196961771,236.35,464.1686852178982,10.183797723840351
Lillehammer,4726,0.19433013260173754,236.3,478.51132979586663,9.876464162334706
Gloppen,4723,0.194206774498097,236.15,1100.735396963747,4.29076780216922
Ullensvang,4710,0.19367222271565462,235.5,1537.7252114589464,3.062965973960521
Brønnøy,4703,0.19338438714049336,235.15,2098.4180224634474,2.241212165381086
Samnanger,4670,0.19202744800044738,233.5,291.6793233658402,16.010733795287333
Flatanger,4624,0.19013595707795902,231.2,1284.0158093614086,3.6012017658097966
Namdalseid,4570,0.18791551121242922,228.5,805.6381915163267,5.67252154642595
Storfjord,4560,0.18750431753362742,228.0,1605.920214706514,2.8394934930396603
Hemnes,4557,0.1873809594299869,227.85,1651.9209134262255,2.758606639677678
Odda,4510,0.18544834913961833,225.5,1634.9473825165717,2.758498559787313
