kommune,kommunenummer,lyn_treff,lyn_per_år,andel (%),areal_km2,lyn_per_km2_per_år
Aarborte - Hattfjelldal,1826,15258,1525.173645320197,0.5609923881076084,2684.35,0.5681724236110034
Alstahaug,1820,1474,147.3394909688013,0.0541947031111951,188.16,0.7830542674787484
Alta,5601,11706,1170.1194581280788,0.43039565442310035,3848.82,0.30402031223286063
Alvdal,3428,8032,802.8702791461412,0.2953133347280319,942.1500000000001,0.8521682101004523
Alver,4631,4915,491.2982348111658,0.18071028886806237,679.1500000000001,0.7234016562043226
Andøy,1871,1231,123.04946633825944,0.04526029818852183,656.18,0.1875239512607203
Aremark,3124,5461,545.8758210180624,0.20078512462024184,319.26,1.7098158899269011
Arendal,4203,11045,1104.046592775041,0.4060926023494911,270.2,4.086034762305852
Asker,3203,10357,1035.2748357963874,0.3807968386178071,376.61,2.748930819140191
Askvoll,4645,2773,277.1861658456486,0.10195516399412756,326.24,0.8496388114444844
Askøy,4627,751,75.06917077175697,0.027612090933858562,101.10000000000001,0.7425239443299403
Aukra,1547,609,60.875,0.022391162954354015,60.660000000000004,1.003544345532476
Aure,1576,4421,441.918513957307,0.1625473422351381,641.28,0.6891194391799323
Aurland,4641,5231,522.88526272578,0.19232869197738234,1467.69,0.35626410394959424
Aurskog-Høland,3226,29192,2918.001642036125,1.073305137871104,1144.8,2.5489182757128974
Austevoll,4625,3107,310.57245484400653,0.11423537487549741,117.23,2.6492574839546745
Austrheim,4632,266,26.589080459770113,0.009780048186959225,57.54,0.46209733159141664
Averøy,1554,1035,103.45751231527093,0.03805394689286766,175.70000000000002,0.5888304628074611
Balsfjord,5532,3052,305.07471264367814,0.11221318446090058,1496.99,0.20379208454543996
Bamble,4012,5821,581.8610426929392,0.21402128006123927,304.38,1.9116270539882358
Bardu,5520,6756,675.3226600985222,0.2483985171093854,2703.89,0.2497596648156997
Beiarn,1839,2108,210.7134646962233,0.0775050435267295,1222.31,0.17238954495686307
Bergen,4601,6864,686.1182266009852,0.25236936374168467,464.78,1.4762214953332442
Berlevåg,5630,2412,241.10098522167488,0.0886822414546829,1121.77,0.21492907211074896
